sample_name,library,organism,read1,read2,read_length,read_type
BRCA-8D66AC5D-CA8B-47FC-8C61-376A75AEB292-X019-S05-L056-B1-T1-P043,ATAC,human,read1,read2,75,paired
BRCA-8D66AC5D-CA8B-47FC-8C61-376A75AEB292-X019-S05-L057-B1-T2-P038,ATAC,human,read1,read2,75,paired
BRCA-8DB1A244-D21F-4A52-A70F-317C0CF8B4B7-X014-S11-L021-B1-T1-P033,ATAC,human,read1,read2,75,paired
BRCA-8DB1A244-D21F-4A52-A70F-317C0CF8B4B7-X014-S11-L022-B1-T2-P034,ATAC,human,read1,read2,75,paired
BRCA-94253529-096B-410E-88D2-80AA79361AD9-X015-S11-L044-B1-T1-P035,ATAC,human,read1,read2,75,paired
BRCA-94AF19F0-1F2A-41EC-8CB6-96C76227811F-X013-S03-L053-B1-T1-P022,ATAC,human,read1,read2,75,paired
BRCA-94AF19F0-1F2A-41EC-8CB6-96C76227811F-X013-S03-L054-B1-T2-P027,ATAC,human,read1,read2,75,paired
BRCA-A3A3CD8F-3497-4615-B288-14E6290DC441-X007-S02-L059-B1-T2-P010,ATAC,human,read1,read2,75,paired
BRCA-A6462625-3970-44A4-B4CB-7B4AE86648CD-X013-S04-L055-B1-T1-P023,ATAC,human,read1,read2,75,paired
BRCA-A6462625-3970-44A4-B4CB-7B4AE86648CD-X013-S04-L056-B1-T2-P025,ATAC,human,read1,read2,75,paired
BRCA-A8BD9D89-6D7F-4423-91A6-1627E36887F6-X022-S10-L065-B1-T1-P047,ATAC,human,read1,read2,75,paired
BRCA-A91AADEA-8299-46D9-A250-76896D690AFD-X016-S12-L069-B1-T1-P035,ATAC,human,read1,read2,75,paired
BRCA-A91AADEA-8299-46D9-A250-76896D690AFD-X016-S12-L070-B1-T2-P033,ATAC,human,read1,read2,75,paired
BRCA-BE061C50-495F-46AD-BF95-09C8AD8B5365-X022-S05-L056-B1-T1-P049,ATAC,human,read1,read2,75,paired
BRCA-BE0F871D-DFA0-4B91-A068-41A57C105E1B-X007-S05-L064-B1-T1-P013,ATAC,human,read1,read2,75,paired
BRCA-C147AAD5-A8F1-41D5-8709-21820BE50902-X016-S11-L067-B1-T1-P032,ATAC,human,read1,read2,75,paired
BRCA-C147AAD5-A8F1-41D5-8709-21820BE50902-X016-S11-L068-B1-T2-P033,ATAC,human,read1,read2,75,paired
BRCA-C9C8D426-A3FD-4455-89A9-768BC01D66A9-X009-S01-L025-B1-T1-P016,ATAC,human,read1,read2,75,paired
BRCA-C9C8D426-A3FD-4455-89A9-768BC01D66A9-X009-S01-L026-B1-T2-P021,ATAC,human,read1,read2,75,paired
BRCA-CA5AB738-9366-4908-B573-92C041E15471-X020-S05-L009-B1-T1-P052,ATAC,human,read1,read2,75,paired
BRCA-CA5AB738-9366-4908-B573-92C041E15471-X020-S05-L010-B1-T2-P050,ATAC,human,read1,read2,75,paired
BRCA-CB96A542-7AC1-4FEC-A5D2-458D8EEDC6C4-X013-S05-L057-B1-T1-P023,ATAC,human,read1,read2,75,paired
BRCA-CB96A542-7AC1-4FEC-A5D2-458D8EEDC6C4-X013-S05-L058-B1-T2-P024,ATAC,human,read1,read2,75,paired
BRCA-CC102C17-C1CA-427A-8C7D-D3E79748A0CD-X004-S04-L049-B1-T1-P006,ATAC,human,read1,read2,75,paired
BRCA-CC102C17-C1CA-427A-8C7D-D3E79748A0CD-X004-S04-L050-B1-T2-P006,ATAC,human,read1,read2,75,paired
BRCA-CE1F0208-85C0-40DD-8C03-1595C8A6612C-X007-S01-L056-B1-T1-P031,ATAC,human,read1,read2,75,paired
BRCA-CE1F0208-85C0-40DD-8C03-1595C8A6612C-X007-S01-L057-B1-T2-P009,ATAC,human,read1,read2,75,paired
BRCA-CF183B78-9738-4D5F-8A57-82B8C8DD63AF-X009-S09-L041-B1-T1-P020,ATAC,human,read1,read2,75,paired
BRCA-CF183B78-9738-4D5F-8A57-82B8C8DD63AF-X009-S09-L042-B1-T2-P018,ATAC,human,read1,read2,75,paired
BRCA-D6F24369-2AB6-4A49-B3A4-B3B61D5A13B4-X014-S06-L011-B1-T1-P037,ATAC,human,read1,read2,75,paired
BRCA-D6F24369-2AB6-4A49-B3A4-B3B61D5A13B4-X014-S06-L012-B1-T2-P066,ATAC,human,read1,read2,75,paired
BRCA-D88D85E7-B4D4-4ACB-9815-996EE6B3650D-X011-S03-L005-B1-T1-P028,ATAC,human,read1,read2,75,paired
BRCA-D88D85E7-B4D4-4ACB-9815-996EE6B3650D-X011-S03-L006-B1-T2-P029,ATAC,human,read1,read2,75,paired
BRCA-DA8D04F8-C74F-4D50-B0B6-BBD15047FE72-X008-S02-L003-B1-T1-P018,ATAC,human,read1,read2,75,paired
BRCA-DA8D04F8-C74F-4D50-B0B6-BBD15047FE72-X008-S02-L004-B1-T2-P020,ATAC,human,read1,read2,75,paired
BRCA-DD69EDE9-142D-46E2-AA06-58D07D3230FB-X016-S08-L061-B1-T1-P035,ATAC,human,read1,read2,75,paired
BRCA-DD69EDE9-142D-46E2-AA06-58D07D3230FB-X016-S08-L062-B1-T2-P034,ATAC,human,read1,read2,75,paired
BRCA-DFFD80D2-34AB-4EE6-A7D4-06B557634CC4-X010-S07-L061-B1-T1-P017,ATAC,human,read1,read2,75,paired
BRCA-DFFD80D2-34AB-4EE6-A7D4-06B557634CC4-X010-S07-L062-B1-T2-P016,ATAC,human,read1,read2,75,paired
BRCA-E2534288-EFAE-4EF6-98A0-0A931BC20FF1-X017-S07-L013-B1-T1-P039,ATAC,human,read1,read2,75,paired
BRCA-E2534288-EFAE-4EF6-98A0-0A931BC20FF1-X017-S07-L014-B1-T2-P040,ATAC,human,read1,read2,75,paired
BRCA-EC8621C3-0A39-478F-BE88-2F1D1A19DA2D-X023-S07-L085-B1-T1-P056,ATAC,human,read1,read2,75,paired
BRCA-EC8621C3-0A39-478F-BE88-2F1D1A19DA2D-X023-S07-L086-B1-T2-P055,ATAC,human,read1,read2,75,paired
BRCA-EF17C882-9808-4676-9DFA-432D34290B33-X023-S15-L101-B1-T1-P056,ATAC,human,read1,read2,75,paired
BRCA-FB055B59-7512-40E4-8547-39798A4C9B8C-X011-S09-L017-B1-T1-P024,ATAC,human,read1,read2,75,paired
BRCA-FB055B59-7512-40E4-8547-39798A4C9B8C-X011-S09-L018-B1-T2-P025,ATAC,human,read1,read2,75,paired
BRCA-FB1C995E-6C78-414A-B74C-8C77CD924348-X015-S09-L041-B1-T1-P033,ATAC,human,read1,read2,75,paired
BRCA-FB1C995E-6C78-414A-B74C-8C77CD924348-X015-S09-L042-B1-T2-P032,ATAC,human,read1,read2,75,paired
BRCA-FCD2477B-7E05-4EB7-BD63-302496AEA537-X017-S11-L021-B1-T1-P041,ATAC,human,read1,read2,75,paired
BRCA-FCD2477B-7E05-4EB7-BD63-302496AEA537-X017-S11-L022-B1-T2-P040,ATAC,human,read1,read2,75,paired
BRCA-FE43880C-3F93-4463-9C91-5A2DE7130718-X009-S11-L045-B1-T1-P016,ATAC,human,read1,read2,75,paired
BRCA-FE43880C-3F93-4463-9C91-5A2DE7130718-X009-S11-L046-B1-T2-P018,ATAC,human,read1,read2,75,paired
CESC-10041818-52A8-4856-ADEE-13E3FC97A737-X003-S09-L035-B1-T1-P002,ATAC,human,read1,read2,75,paired
CESC-10041818-52A8-4856-ADEE-13E3FC97A737-X003-S09-L036-B1-T2-P002,ATAC,human,read1,read2,75,paired
